CustomerID,TotalPurchases,TotalUnits,TotalRevenue,FirstPurchase,LastPurchase,CustomerAge,RevenuePerDay,CLV
12346.0,1,74215,77183.6,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,28172014.000000004
12347.0,7,2458,4310.0,2010-12-07 14:57:00,2011-12-07 15:52:00,366,11.775956284153006,4298.224043715847
12348.0,4,2341,1797.24,2010-12-16 19:09:00,2011-09-25 13:13:00,283,6.350671378091873,2317.9950530035335
12349.0,1,631,1757.55,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,641505.75
12350.0,1,197,334.4,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.4,122055.99999999999
12352.0,8,536,2506.04,2011-02-16 12:33:00,2011-11-03 14:37:00,261,9.601685823754789,3504.615325670498
12353.0,1,20,89.0,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,32485.0
12354.0,1,530,1079.4,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,393981.00000000006
12355.0,1,240,459.4,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.4,167681.0
12356.0,3,1591,2811.43,2011-01-18 09:50:00,2011-11-17 08:40:00,303,9.278646864686468,3386.706105610561
12357.0,1,2708,6207.67,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,2265799.55
12358.0,2,248,1168.06,2011-07-12 10:04:00,2011-12-08 10:26:00,150,7.787066666666666,2842.279333333333
12359.0,4,1622,6372.58,2011-01-12 12:43:00,2011-10-13 12:47:00,275,23.173018181818183,8458.151636363636
12360.0,3,1165,2662.06,2011-05-23 09:43:00,2011-10-18 15:22:00,149,17.866174496644295,6521.153691275167
12361.0,1,91,189.9,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,69313.5
12362.0,10,2229,5226.23,2011-02-17 10:30:00,2011-12-06 15:40:00,293,17.836962457337883,6510.491296928327
12363.0,2,408,552.0,2011-04-11 13:29:00,2011-08-22 10:18:00,133,4.150375939849624,1514.8872180451128
12364.0,4,1506,1313.1,2011-08-19 15:24:00,2011-12-02 10:22:00,105,12.505714285714285,4564.585714285714
12365.0,2,174,641.38,2011-02-21 13:51:00,2011-02-21 14:04:00,1,641.38,234103.7
12367.0,1,173,168.9,2011-12-05 16:48:00,2011-12-05 16:48:00,1,168.9,61648.5
12370.0,4,2353,3545.69,2010-12-14 12:58:00,2011-10-19 14:51:00,310,11.437709677419354,4174.764032258065
12371.0,2,591,1887.96,2011-10-11 10:43:00,2011-10-26 10:16:00,15,125.864,45940.36
12372.0,3,794,1298.04,2011-02-16 12:46:00,2011-09-29 12:12:00,225,5.769066666666666,2105.7093333333332
12373.0,1,197,364.6,2011-02-01 13:10:00,2011-02-01 13:10:00,1,364.6,133079.0
